n, x1, x2, y, phi1, phi2, Ax, Ay, Bx, By, C, time
121, -0.333019, 0.332275, 0.088226, 2.912666, 2.904634, -0.353000, 0.174154, 0.353000, 0.174154, 1.178097, 22878.000000
122, -0.335842, 0.334839, 0.086490, 2.941430, 2.930244, -0.353000, 0.171256, 0.353000, 0.171256, 1.178097, 23348.000000
123, -0.338285, 0.337059, 0.084988, 2.967156, 2.953122, -0.353000, 0.168688, 0.353000, 0.168688, 1.178097, 23360.000000
124, -0.340349, 0.338952, 0.083713, 2.989507, 2.973207, -0.353000, 0.166462, 0.353000, 0.166462, 1.178097, 22821.000000
125, -0.342030, 0.340539, 0.082660, 3.008157, 2.990475, -0.353000, 0.164587, 0.353000, 0.164587, 1.178097, 23021.000000
126, -0.343325, 0.341837, 0.081822, 3.022800, 3.004931, -0.353000, 0.163070, 0.353000, 0.163070, 1.178097, 23108.000000
127, -0.344232, 0.342863, 0.081197, 3.033174, 3.016581, -0.353000, 0.161918, 0.353000, 0.161918, 1.178097, 22970.000000
128, -0.344749, 0.343625, 0.080780, 3.039101, 3.025396, -0.353000, 0.161136, 0.353000, 0.161136, 1.178097, 22813.000000
129, -0.344880, 0.344122, 0.080570, 3.040532, 3.031256, -0.353000, 0.160729, 0.353000, 0.160729, 1.178097, 23058.000000
130, -0.344641, 0.344339, 0.080567, 3.037602, 3.033913, -0.353000, 0.160698, 0.353000, 0.160698, 1.178097, 23008.000000
131, -0.344055, 0.344247, 0.080771, 3.030652, 3.032989, -0.353000, 0.161046, 0.353000, 0.161046, 1.178097, 22971.000000
132, -0.343160, 0.343808, 0.081184, 3.020193, 3.028043, -0.353000, 0.161771, 0.353000, 0.161771, 1.178097, 23684.000000
133, -0.341989, 0.342983, 0.081808, 3.006780, 3.018715, -0.353000, 0.162873, 0.353000, 0.162873, 1.178097, 23236.000000
134, -0.340566, 0.341750, 0.082644, 2.990851, 3.004868, -0.353000, 0.164349, 0.353000, 0.164349, 1.178097, 23080.000000
135, -0.338895, 0.340101, 0.083695, 2.972611, 2.986662, -0.353000, 0.166195, 0.353000, 0.166195, 1.178097, 23212.000000
136, -0.336957, 0.338047, 0.084965, 2.952050, 2.964484, -0.353000, 0.168405, 0.353000, 0.168405, 1.178097, 23091.000000
137, -0.334724, 0.335603, 0.086461, 2.929064, 2.938817, -0.353000, 0.170974, 0.353000, 0.170974, 1.178097, 22911.000000
138, -0.332166, 0.332781, 0.088192, 2.903577, 2.910134, -0.353000, 0.173892, 0.353000, 0.173892, 1.178097, 23388.000000
139, -0.329258, 0.329590, 0.090164, 2.875589, 2.878862, -0.353000, 0.177151, 0.353000, 0.177151, 1.178097, 24103.000000
